name,address,phone,website,rating,total_ratings,place_id
Plumd In Plumbing Northern Beaches,"52 Abingdon St, North Balgowlah NSW 2093, Australia",0426 483 191,https://plumdinplumbing.com.au/,5,96,ChIJ2Xvw2rerEmsRqJBVwvBD85k
Collis Bros Plumbing,"G2/1 Campbell Parade, Manly Vale NSW 2093, Australia",(02) 9907 9807,https://collisbrosplumbing.com.au/,4.9,122,ChIJn0zBjlaqEmsRqSpQRmHCT-o
Hello Plumbing,"Unit 2/63 Cassia St, Dee Why NSW 2099, Australia",1300 303 055,https://helloplumbing.com.au/,4.9,917,ChIJtSaLsh1WDWsR8PcPnuj1lQI
At Your Service Plumbing,"19b Ronald Ave, Narraweena NSW 2068, Australia",0468 173 052,https://atyourserviceplumbing.com.au/?utm_source=google&utm_medium=organic&utm_campaign=Google_Maps,4.9,240,ChIJB3qWj5OrEmsR8_pfqW8_tBw
23 Plumbing,"105 McIntosh Rd, Narraweena NSW 2099, Australia",0421 994 700,https://23plumbing.com.au/,5,64,ChIJKxxVY1NToyURsGs7dsZ0mFM
Curl Curl Plumbing,"C3/1 Campbell Parade, Manly Vale NSW 2093, Australia",1300 566 292,https://www.curlcurlplumbing.com.au/,4.8,302,ChIJj2WfU1OqEmsR83nc5L718Zk
Network Plumbing Terrey Hills - Blocked Drain & Emergency Plumber Sydney,"38 Myoora Rd, Terrey Hills NSW 2084, Australia",(02) 8072 3879,https://www.networkplumbing.com.au/?utm_source=GBPlisting&utm_medium=organic,4.8,731,ChIJ5eQXiNiuEmsRyc17GtwCYSQ
Northern Beaches Blocked Drains,"Unit 1/52 Abingdon St, North Balgowlah NSW 2093, Australia",0416 962 481,http://www.northernbeachesblockeddrain.com.au/,5,7,ChIJM081oEirEmsRVC4qNxDgor4
