name,address,phone,website,rating,total_ratings,place_id
Northern Beaches Cleaning Service,"218a Pittwater Rd, Manly NSW 2095, Australia",0456 405 311,https://www.northernbeachescleaner.com.au/,4.9,31,ChIJRSPWRFmrEmsR4GPTVU2xWuc
Cleaners Northern beaches,"696 Pittwater Rd, Brookvale NSW 2100, Australia",(02) 9072 1967,https://cleanersnorthernbeaches.com.au/,5,4,ChIJ24NE5g6rEmsRVBlfoIMh6Nc
Cleaning Services Northern Beaches,"41 Foamcrest Ave, Newport NSW 2106, Australia",0430 558 007,https://cleaningservicesnorthernbeaches.com.au/,5,5,ChIJpWx_rUzQPWsRJnWhzuilotY
Northern Beaches Angels Clean & Care,"Military Rd, Mosman NSW 2088, Australia",0416 530 950,http://www.northernbeachesangels.com/,4.7,13,ChIJUStVa66vEmsRMyVOCEB3vPY
UKRAINIAN CLEANING,"71 Narrabeen Park Parade, Warriewood NSW 2102, Australia",0413 304 206,https://cleaningua.com.au/,5,23,ChIJ4QVkqoJVDWsR18C98jFzLbs
