name,address,phone,website,rating,total_ratings,place_id
Northern Beaches Electrical,"20/1-7 Boronia St, Dee Why NSW 2099, Australia",0410 421 780,http://northernbeacheselectrical.com.au/,4.8,23,ChIJNR0feZqqEmsRVQkskqkryFI
DM Electrical - Level 2 Electrician Northern Beaches,"230 Harbord Road, Brookvale NSW 2100, Australia",0410 144 047,https://www.dmelectric.com.au/,4.9,67,ChIJ3-XsbHWrEmsR-pdJvogWEyA
Beach Hill Electrical,"2 Anthony Cl, Beacon Hill NSW 2100, Australia",0410 774 060,http://beachhillelectrical.com/,5,123,ChIJ7xzxDoKrEmsRmmU1HpL0IF0
Plateau Electrical,"78 Claudare St, Collaroy Plateau NSW 2097, Australia",0405 954 893,https://plateauelectrical.com.au/,5,323,ChIJlSSZGQarEmsRnvdd9k1KyGQ
All Electrical Plus,"4 Kadigal Pl, Beacon Hill NSW 2100, Australia",1300 350 632,http://www.allelectricalplus.com.au/,5,79,ChIJNRAA7l6rEmsRWowhvW9v6uI
Northside Electrical Services,"8/110 Lawrence St, Freshwater NSW 2096, Australia",0479 158 950,https://nselectricalservices.com.au/,5,79,ChIJ4Srk2Vg2h2wRw_zaI0K6VP0
