name,address,phone,website,rating,total_ratings,place_id
House Painters Northern Beaches,"Suite 14/7 Grosvenor Pl, Brookvale NSW 2100, Australia",0408 213 175,https://housepaintersnorthernbeaches.com.au/,5,1,ChIJmTaD8fGrEmsRyI12ffcACyk
Pierce & Co. Painting Services,"42 Crown Rd, Queenscliff NSW 2096, Australia",0435 299 449,,5,35,ChIJg5ZV9XCrEmsRVYPpQ2bZQpg
Colourcast Painting and Decorating,"6 Orara Rd, Allambie Heights NSW 2100, Australia",0406 091 739,https://colourcastpainting.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,5,116,ChIJt6zQe7KrEmsROqmdkY2tzGQ
Sydney Northern Beaches Painting,"4 Danby St, Prospect NSW 2148, Australia",0401 029 024,https://snbp.com.au/,5,4,ChIJ0ZQ-_iiLagQRZipvWVW7_Vg
Painting Lab,"1219 Pittwater Rd, Collaroy NSW 2097, Australia",,http://www.paintinglab.com.au/,5,30,ChIJf0Fa5MdVDWsR1bLYwzbJIMM
A Fine Brush Stroke Painting Service,"70-72 Howard Ave, Dee Why NSW 2099, Australia",0411 446 153,http://afbspainters.com.au/,5,31,ChIJoc6J_jmrEmsReOKgsUn3IrI
North Sydney Painting,"73 Lower Bent St, Neutral Bay NSW 2089, Australia",0487 556 397,http://www.northsydneypainting.com/,5,42,ChIJ3Ye34eKvEmsRxo2MEim94bs
Seascape Painting and Decorating,"10 Gowrie Pl, Cromer NSW 2099, Australia",0411 565 239,http://www.seascapepainting.com.au/,5,12,ChIJ99FuIIxVDWsR6hOPV7zsBkA
