name,address,phone,website,rating,total_ratings,place_id
TradieWives,"7/90 Mona Vale Rd, Mona Vale NSW 2103, Australia",0430 532 141,http://www.tradiewives.com.au/,5,18,ChIJw0NCBz1VDWsRKOo6Vse69ag
Tradies GO,"9 Middlemiss St, Lavender Bay NSW 2060, Australia",(02) 9042 0593,https://www.tradiesgo.com.au/,4.4,53,ChIJn-QU45ymEmsR-2pSajcadV0
Tradies Combined Pty Ltd,"18/77-79 Bourke Rd, Alexandria NSW 2015, Australia",1300 951 111,http://www.tradiescombined.com.au/,5,12,ChIJe1A1QjyxEmsRmQbTHllAP5s
That Lady Tradie,"89 Phillip St, Birchgrove NSW 2041, Australia",0402 906 108,http://thatladytradie.com.au/,4.9,107,ChIJTw4kgKqvEmsRPGFe9BjupIM
Machinery for Tradies – Mini Skid Steer Hire Sydney,"35 William St, Rose Bay NSW 2029, Australia",0478 008 631,https://machineryfortradies.com/,5,6,ChIJ9WbSiTWb-KoRCgkcdzYQVtI
TRADIES BUSINESS SUPPORT,"1/5 Collaroy St, Collaroy NSW 2097, Australia",0404 144 400,,,,ChIJZ6mEtmtVDWsRPcm_dJzp-vk
Northern Beaches Handyman,"126 Grandview Dr, Newport NSW 2106, Australia",0416 233 912,http://www.northernbeacheshandyman.com.au/,5,9,ChIJlz0LhDdTDWsRrgeE0By3aG4
Beaches Timber,"129A Mona Vale Rd, Ingleside NSW 2101, Australia",0433 984 498,http://www.beachestimber.com/,5,30,ChIJeXDgYVlVDWsRj_4__E9ifOg
We Help Tradies,"2/23 Foster St, Surry Hills NSW 2010, Australia",(02) 9068 1803,https://wehelptradies.com.au/,5,19,ChIJNwOHsxKjfUgRScVdJhjPt0Y
